"calendar_day","year","hours_played","rank"
"2014-02-08 00:00:00-08","2014","0.10","1"
"2015-06-30 00:00:00-07","2015","0.13","1"
"2017-10-28 00:00:00-07","2017","23.36","1"
"2018-06-01 00:00:00-07","2018","24.01","1"
"2019-06-30 00:00:00-07","2019","26.93","1"
"2020-03-26 00:00:00-07","2020","24.00","1"
"2021-08-24 00:00:00-07","2021","24.30","1"
"2022-03-12 00:00:00-08","2022","22.74","1"
"2023-12-19 00:00:00-08","2023","24.01","1"
"2024-09-24 00:00:00-07","2024","24.01","1"
"2024-03-08 00:00:00-08","2024","24.01","1"
"2025-01-12 00:00:00-08","2025","19.70","1"
