"artist_name","track_name","min_played"
"Joe Baker","Ocean Waves",73
"Joe Baker","Thunderstorm by the Sea",73
"Joe Baker","The Sound of Summer Rain",73
"Joe Baker","Babbling Brook",21
"Joe Baker","Babbling Brook",0
"Joe Baker","Cha Cha Practice Music 105 Beats/min.",0
"Joe Baker","Ocean Waves",0
"Joe Baker","Tango No. 1 120 Bpm",0
"Joe Baker","Wind and Rain",0
"Joe Baker","Piano Waltz 90 Bpm",0
"Joe Baker","Ocean Waves",0
"Joe Baker","Atlantic Ocean Waves (Nothing but the Pure Sound of the Surf)",68
"Joe Baker","Atlantic Ocean Waves (Nothing but the Pure Sound of the Surf)",52
"Joe Baker","Ocean Waves",73
"Joe Baker","Ocean Waves",73
"Joe Baker","Ocean Waves",73
"Joe Baker","Ocean Waves",29
