"year","season","season_order","track_count"
"2014","Winter Start",0,"1"
"2015","Summer",2,"54"
"2017","Winter Start",0,"753"
"2017","Spring",1,"6994"
"2017","Summer",2,"6724"
"2017","Fall",3,"6007"
"2017","Winter End",4,"337"
"2018","Winter Start",0,"4282"
"2018","Spring",1,"4263"
"2018","Summer",2,"6004"
"2018","Fall",3,"4806"
"2018","Winter End",4,"639"
"2019","Winter Start",0,"4811"
"2019","Spring",1,"7402"
"2019","Summer",2,"10401"
"2019","Fall",3,"7619"
"2019","Winter End",4,"481"
"2020","Winter Start",0,"2934"
"2020","Spring",1,"4388"
"2020","Summer",2,"8273"
"2020","Fall",3,"3312"
"2020","Winter End",4,"385"
"2021","Winter Start",0,"3927"
"2021","Spring",1,"12631"
"2021","Summer",2,"15226"
"2021","Fall",3,"14681"
"2021","Winter End",4,"2157"
"2022","Winter Start",0,"11328"
"2022","Spring",1,"15627"
"2022","Summer",2,"7611"
"2022","Fall",3,"5331"
"2022","Winter End",4,"1150"
"2023","Winter Start",0,"9082"
"2023","Spring",1,"7928"
"2023","Summer",2,"9958"
"2023","Fall",3,"13462"
"2023","Winter End",4,"2855"
"2024","Winter Start",0,"10872"
"2024","Spring",1,"9899"
"2024","Summer",2,"13904"
"2024","Fall",3,"9805"
"2024","Winter End",4,"1167"
"2025","Winter Start",0,"2354"
