"year","genre","genre_count","ranking"
"2015","deep house","38","1"
"2017","ambient","60","1"
"2017","space music","41","2"
"2017","drone","33","3"
"2017","neoclassical","14","4"
"2017","soundtrack","12","5"
"2017","dark ambient","12","5"
"2017","idm","11","7"
"2017","minimalism","10","8"
"2017","art rock","9","9"
"2017","krautrock","9","9"
"2017","glam rock","9","9"
"2018","ambient","198","1"
"2018","drone","187","2"
"2018","minimalism","183","3"
"2018","krautrock","175","4"
"2018","space music","171","5"
"2018","art rock","171","5"
"2018","glam rock","171","5"
"2018","classical","110","8"
"2018","classical piano","109","9"
"2018","shoegaze","12","10"
"2019","ambient","26","1"
"2019","drone","17","2"
"2019","minimalism","15","3"
"2019","art rock","10","4"
"2019","space music","10","4"
"2019","northern soul","8","6"
"2019","neoclassical","8","6"
"2019","glam rock","7","8"
"2019","krautrock","7","8"
"2019","motown","6","10"
"2020","afro house","151","1"
"2020","gqom","81","2"
"2020","amapiano","76","3"
"2020","3 step","68","4"
"2020","house","65","5"
"2020","afro soul","60","6"
"2020","afropop","58","7"
"2020","afrobeats","56","8"
"2020","afrobeat","43","9"
"2020","afropiano","43","9"
"2021","lullaby","61","1"
"2021","classical piano","6","2"
"2021","classical","6","2"
"2021","chamber music","6","2"
"2021","native american music","5","5"
"2021","cha cha cha","3","6"
"2021","salsa","3","6"
"2021","variété française","2","8"
"2021","gregorian chant","2","8"
"2021","chanson","2","8"
"2021","new age","2","8"
"2022","melodic house","106","1"
"2022","progressive house","101","2"
"2022","progressive trance","57","3"
"2022","trance","46","4"
"2022","organic house","34","5"
"2022","deep house","24","6"
"2022","future bass","18","7"
"2022","melodic bass","18","7"
"2022","chillstep","18","7"
"2022","melodic techno","14","10"
"2023","ambient","60","1"
"2023","space music","25","2"
"2023","drone","19","3"
"2023","dark ambient","5","4"
"2023","quiet storm","4","5"
"2023","ambient folk","3","6"
"2023","motown","3","6"
"2023","trap latino","3","6"
"2023","trap","2","9"
"2023","reggaeton","2","9"
"2023","classical","2","9"
"2024","french rap","198","1"
"2024","french r&b","69","2"
"2024","new wave","51","3"
"2024","ambient","45","4"
"2024","melodic techno","33","5"
"2024","melodic house","33","5"
"2024","french indie pop","25","7"
"2024","hyperpop","25","7"
"2024","downtempo","15","9"
"2024","french pop","15","9"
"2024","deep house","15","9"
"2025","lo-fi beats","217","1"
"2025","lo-fi","216","2"
"2025","jazz beats","95","3"
"2025","lo-fi hip hop","35","4"
"2025","jazz rap","17","5"
"2025","jazz house","6","6"
"2025","memphis rap","4","7"
"2025","phonk","4","7"
"2025","drift phonk","4","7"
"2025","chamber music","3","10"
"2025","classical","3","10"
"2025","shoegaze","3","10"
"2025","classical piano","3","10"
