"stream_year","times_played","ranking","artist_name","track_name","genres"
"2014","1","1","Ron Basejam","Get Closer",NULL
"2015","3","1","Lars Behrenroth","Within Reason","{""deep house""}"
"2015","1","2","Pelican","The Creeper - Live",NULL
"2015","1","2","Tef Poe","F.a.M.E.","{}"
"2015","1","2","Scott Walker","Brando",NULL
"2015","1","2","Prof.Sakamoto","8bit shower for SF Hyakkei (feat. Gainax)",NULL
"2017","72","1","Brian Eno","Emerald and Stone","{ambient,""art rock"",krautrock,minimalism,drone,""glam rock"",""space music""}"
"2017","64","2","Brian Eno","An Ending (Ascent) - Remastered 2005","{ambient,""art rock"",krautrock,minimalism,drone,""glam rock"",""space music""}"
"2017","61","3","Brian Eno","Signals - Remastered 2005","{ambient,""art rock"",krautrock,minimalism,drone,""glam rock"",""space music""}"
"2017","45","4","The 2 Inversions","Underbart","{}"
"2017","44","5","August Wilhelmsson","Somewhere In Between","{}"
"2017","43","6","Johannes Bornlöf","Crystal Clear","{}"
"2017","43","6","Jon Hopkins","Candles","{idm,ambient}"
"2017","43","6","Brian Eno","Complex Heaven","{ambient,""art rock"",krautrock,minimalism,drone,""glam rock"",""space music""}"
"2017","42","9","Enno Aare","Ella's Lullaby","{}"
"2017","42","9","Aphex Twin","Avril 14th","{idm,ambient,electronica}"
"2017","42","9","They Dream By Day","Limbo","{}"
"2018","47","1","Lluvia del Bosque","Bosque","{}"
"2018","46","2","Tritonal","Electric Glow - Original Mix","{edm,""progressive house"",""progressive trance""}"
"2018","35","3","Mother Earth Sounds","Far Away Forest","{}"
"2018","33","4","Natural Sound Selections","Good Night Sleep","{}"
"2018","33","4","Nature Recordings","Summmer Forest","{}"
"2018","33","4","Nature Recordings","Birds And Breeze","{}"
"2018","32","7","QFT Sounds","Exotic Nature",NULL
"2018","32","7","Lluvia del Bosque","Rainforest","{}"
"2018","32","7","Nature Sounds Nature Music","Rain Forest and Tropical Beach Sound","{}"
"2018","32","7","Mother Nature Sound FX","Rain Birds and Trees","{}"
"2018","32","7","Sounds Of The Deep Forest","Found the Beach","{}"
"2018","32","7","Lluvia del Bosque","Warm Forest At Night","{}"
"2018","32","7","Brian Eno","An Ending (Ascent) - Remastered 2005","{ambient,""art rock"",krautrock,minimalism,drone,""glam rock"",""space music""}"
"2019","753","1","Chill Bees","Light Rain","{}"
"2019","122","2","Thunderstorm Sound Bank","Monsun Thunderstorm","{}"
"2019","121","3","Mother Nature Sound FX","Florida Rain Storm","{}"
"2019","115","4","Weather Factory","Calm Rain & Thunder","{}"
"2019","114","5","Thunderstorm Sound Bank","Thunderstorm By The Waterfall","{}"
"2019","112","6","The Sleep Helpers","Never Ending Rain","{}"
"2019","112","6","Weather Factory","Forest Thunderstorm","{}"
"2019","112","6","Thunderstorm Sound Bank","Rain & Thunder","{}"
"2019","111","9","Rain Sound Studio","Miami Rain",NULL
"2019","111","9","Sounds Of Nature : Thunderstorm, Rain","Music For Sleep Thunderstorm, Rain","{}"
"2020","43","1","Najma Wallin","Med slutna ögon","{}"
"2020","43","1","Tine Mydland","Et øyeblikk","{}"
"2020","42","3","Solidão","Bela adormecida","{}"
"2020","42","3","Night Poets","Parts Unknown",NULL
"2020","42","3","Sleep Lab","Calibration of the Mind",NULL
"2020","42","3","Lori Dulac","cognizant","{}"
"2020","42","3","Jupiter Grains","Untitled","{}"
"2020","42","3","Gemma Casimaty","Will you be there when I wake up","{}"
"2020","42","3","Elise Ryen","Kritagya","{}"
"2020","42","3","Irizarry Barraza","Nechama","{}"
"2021","177","1","Beautiful Storms","Cartography Of Water","{}"
"2021","171","2","jackLNDN","With You (Fluida Remix)","{}"
"2021","170","3","Vishal Casey","Appreciation","{}"
"2021","169","4","Sohn Aelia","Uitblinken","{}"
"2021","167","5","Prescient Liquids","Monrovia",NULL
"2021","167","5","Adeline Verver","Turndown Service","{}"
"2021","166","7","Modal Colours","Moment To Moment","{}"
"2021","166","7","Tairata","Mirrors","{}"
"2021","165","9","Mila Harper","Reoite","{}"
"2021","165","9","Alaskan Tapes","Views from Tower Two","{ambient}"
"2021","165","9","Cameron Sinosa","Querencia","{}"
"2022","492","1","From Us","Smyrna","{}"
"2022","130","2","Calma Interiore","Montania","{}"
"2022","118","3","Sheila's Disciples","Amoralis",NULL
"2022","115","4","Olivier Lupin","Objective",NULL
"2022","115","4","Savasana","Lorimor",NULL
"2022","113","6","Nova Issue","Liberation",NULL
"2022","113","6","Insomnia Curator","At the Gate","{minimalism}"
"2022","111","8","Huma","A Illa","{""malayalam hip hop"",""desi hip hop""}"
"2022","111","8","Wolves Club","Tirana Wolves","{}"
"2022","111","8","Superiors","Hallowed","{}"
"2022","111","8","Ljomo","First Day","{minimalism}"
"2022","111","8","Reinstallation Conundrum","Bid to Wonder",NULL
"2023","183","1","Wp Sounds","Rain Sounds","{}"
"2023","150","2","SleepTherapy","Convergence",NULL
"2023","149","3","Signe Golin","Skymning",NULL
"2023","146","4","The Deep Sleep Scientists","Awakened","{}"
"2023","146","4","Heart 2 Heart Relaxing Music","Immersed In Dreams","{}"
"2023","146","4","iamrw","Eclipse","{ambient}"
"2023","145","7","EIRLYS","Fairy Light","{}"
"2023","145","7","Næturkall","Augnablik","{}"
"2023","145","7","oh, the joy.","illusions",NULL
"2023","144","10","Astral Wonder","Gentle Flow","{ambient,""space music""}"
"2024","198","1","18 Carat Affair","Rhythm Method","{vaporwave,chillwave,synthwave}"
"2024","155","2","Viktor Vaughn","Vaudeville Villain","{""experimental hip hop"",""alternative hip hop""}"
"2024","85","3","Green Piccolo","Milky Way","{""lo-fi beats""}"
"2024","65","4","Ryan Celsius Sounds","The City",NULL
"2024","63","5","Soothing Dreamscapes","Huma","{}"
"2024","54","6","Yvng Tavo","Love Again","{vaporwave}"
"2024","52","7","Laurent Wilks","Arnofio","{}"
"2024","52","7","Green Piccolo","Namek","{""lo-fi beats""}"
"2024","51","9","Emanuel Kulo","Integral","{}"
"2024","50","10","Aiden Gaarder","Hiraeth","{}"
"2024","50","10","Alec Wynter","Indiglow","{}"
"2024","50","10","Baxdew","It's Still the Same","{""drift phonk"",phonk}"
"2024","50","10","Miravaldini","Independencia","{}"
"2024","50","10","Nadia Bulic","Jesen","{}"
"2025","9","1","Baxdew","Savages Only","{""drift phonk"",phonk}"
"2025","8","2","Baxdew","FEVER","{""drift phonk"",phonk}"
"2025","7","3","Baxdew","Exotic Cars","{""drift phonk"",phonk}"
"2025","7","3","zakori","Slow Motion Daydream","{}"
"2025","6","5","H X 7","LATE NIGHT MISSIONS","{""drift phonk"",phonk,""memphis rap""}"
"2025","6","5","Cassyb","Like One","{""drift phonk"",""rally house"",phonk}"
"2025","6","5","BABYLON MAYNE","Floated","{""trap metal""}"
"2025","6","5","JASON RICH","Stickup","{phonk,""memphis rap"",""drift phonk""}"
"2025","6","5","sword","Alien Squidfall","{""stoner rock"",""sludge metal"",""doom metal""}"
"2025","6","5","rare","WHAT'S THE ISSUE",NULL
