"artist_name","track_name","times_played","timestamp_column"
"Ron Basejam","Get Closer","1","2014-02-08 00:19:05-08"
"Lars Behrenroth","Within Reason","3","2015-06-30 13:39:57-07"
"Brian Eno","Emerald and Stone","72","2017-03-31 07:11:46-07"
"Lluvia del Bosque","Bosque","47","2018-02-10 09:53:10-08"
"Chill Bees","Light Rain","753","2019-01-27 02:20:22-08"
"Tine Mydland","Et øyeblikk","43","2020-03-30 05:30:21-07"
"Najma Wallin","Med slutna ögon","43","2020-03-30 05:13:07-07"
"Beautiful Storms","Cartography Of Water","177","2021-03-23 00:00:27-07"
"From Us","Smyrna","402","2022-01-01 15:01:36-08"
"Wp Sounds","Rain Sounds","183","2023-09-27 03:48:28-07"
"18 Carat Affair","Rhythm Method","198","2024-10-16 19:55:09-07"
"Baxdew","Savages Only","9","2025-01-06 11:04:00-08"
