"stream_year","genre","hours_played","genre_rank"
"2015","deep house","0.13","1"
"2015","dark ambient","0.00","2"
"2015","doom metal","0.00","2"
"2015","drone","0.00","2"
"2015","sludge metal","0.00","2"
"2015","avant-garde","0.00","2"
"2017","ambient","253.78","1"
"2017","drone","203.87","2"
"2017","minimalism","194.27","3"
"2017","space music","191.84","4"
"2017","krautrock","187.71","5"
"2017","glam rock","161.10","6"
"2017","art rock","161.03","7"
"2017","alternative r&b","58.65","8"
"2017","space rock","32.86","9"
"2017","neoclassical","31.07","10"
"2018","ambient","205.48","1"
"2018","drone","176.59","2"
"2018","minimalism","163.48","3"
"2018","space music","161.41","4"
"2018","krautrock","142.76","5"
"2018","glam rock","141.72","6"
"2018","art rock","140.63","7"
"2018","rumba congolaise","79.35","8"
"2018","lo-fi beats","44.33","9"
"2018","lo-fi","43.10","10"
"2019","country","73.83","1"
"2019","ambient","73.11","2"
"2019","drone","46.18","3"
"2019","minimalism","30.47","4"
"2019","lo-fi house","29.73","5"
"2019","space music","28.55","6"
"2019","lo-fi beats","27.70","7"
"2019","alternative r&b","26.72","8"
"2019","lo-fi","25.48","9"
"2019","pop urbaine","25.14","10"
"2020","afro house","58.12","1"
"2020","afrobeats","54.45","2"
"2020","afrobeat","48.73","3"
"2020","dancehall","48.28","4"
"2020","afropop","48.17","5"
"2020","pop urbaine","42.66","6"
"2020","afroswing","41.84","7"
"2020","french rap","38.01","8"
"2020","soca","31.90","9"
"2020","afro soul","30.52","10"
"2021","minimalism","189.95","1"
"2021","space music","187.48","2"
"2021","lo-fi","186.67","3"
"2021","synthwave","177.74","4"
"2021","ambient","46.40","5"
"2021","french rap","38.13","6"
"2021","alternative r&b","25.63","7"
"2021","pop urbaine","22.48","8"
"2021","french r&b","19.25","9"
"2021","grupera","18.57","10"
"2022","ambient","278.59","1"
"2022","minimalism","165.47","2"
"2022","space music","137.48","3"
"2022","drone","126.90","4"
"2022","lo-fi","107.08","5"
"2022","synthwave","88.66","6"
"2022","dark ambient","47.22","7"
"2022","city pop","32.06","8"
"2022","lo-fi beats","25.59","9"
"2022","phonk","23.27","10"
"2023","ambient","669.31","1"
"2023","drone","260.95","2"
"2023","space music","231.11","3"
"2023","lo-fi","110.75","4"
"2023","lo-fi beats","108.85","5"
"2023","dark ambient","103.13","6"
"2023","synthwave","102.22","7"
"2023","phonk","100.19","8"
"2023","drift phonk","90.89","9"
"2023","vaporwave","78.80","10"
"2024","lo-fi beats","165.03","1"
"2024","ambient","164.80","2"
"2024","lo-fi","150.70","3"
"2024","synthwave","85.04","4"
"2024","vaporwave","83.74","5"
"2024","phonk","71.13","6"
"2024","space music","64.81","7"
"2024","drift phonk","57.07","8"
"2024","chillwave","55.89","9"
"2024","drone","50.79","10"
"2025","lo-fi beats","25.98","1"
"2025","lo-fi","24.08","2"
"2025","phonk","18.27","3"
"2025","drift phonk","16.15","4"
"2025","jazz beats","10.20","5"
"2025","memphis rap","6.76","6"
"2025","lo-fi hip hop","3.79","7"
"2025","rally house","2.15","8"
"2025","trip hop","1.93","9"
"2025","jazz rap","1.72","10"
