"episode_show_name","stream_year","total_hours_played"
"Another Round","2017","1.10"
"TestingMusicvideos","2017","0.31"
"Amber Muse radio show","2018","0.21"
"Another Round","2019","0.95"
"The Athletic FC Podcast","2019","0.57"
"Amber Muse radio show","2019","0.09"
"Ethos Athletes Podcast","2019","0.00"
"Stuff You Should Know","2019","0.00"
"Linear Digressions","2020","2.33"
"The Athletic FC Podcast","2020","1.54"
"EndIess [CDQ]","2020","1.37"
"democracy-ish","2020","0.97"
"Thirst Aid Kit","2020","0.07"
"Football Ramble","2020","0.05"
"Fraudsters","2020","0.04"
"bbyu","2020","0.01"
"Data Engineering Podcast","2020","0.01"
"The Randi Rhodes After Hours Podcast","2020","0.01"
"Another Round","2021","1.98"
"How to Save a Planet","2021","1.51"
"Berlin Zwanzig: A City in 20 Songs","2021","0.71"
"Unlocking Us with Brené Brown","2021","0.70"
"Build a Career in Data Science","2021","0.26"
"Nosy Neighbors","2021","0.07"
"Lost Notes","2021","0.04"
"Data Engineering Podcast","2021","0.02"
"California Love","2021","0.01"
"democracy-ish","2021","0.01"
"Naked Data Science","2021","0.01"
"Data Engineering Podcast","2022","1.47"
"Project Fußball","2022","1.20"
"Handbrake Off: The Athletic FC's Arsenal show","2022","0.49"
"Data Learners","2022","0.03"
"Archetypes","2022","0.02"
"Talk Data 2 Me","2022","0.01"
"That Blackass Show ","2022","0.01"
"The Athletic FC Tactics Podcast","2023","1.78"
"Tifo Football Podcast","2023","1.08"
"Football Daily","2023","0.70"
"The Daily Football Briefing","2023","0.48"
"East Coast Creepin'","2023","0.01"
"Whore School with Ms. Harper","2023","0.00"
"not my problem (jersey)","2024","0.05"
"The Daily Football Briefing","2024","0.03"
"The Athletic FC Tactics Podcast","2024","0.02"
"Sparkleside Chats with Magical Girl Ayu","2025","0.05"
