"artist_name","track_name","stream_count"
"Lars Behrenroth","Within Reason","7"
"Lars Behrenroth","Madness Last Night","5"
"Lars Behrenroth","Keep On (Vocal Mix)","5"
"Lars Behrenroth","Denots","4"
"Lars Behrenroth","Time","4"
"Lars Behrenroth","Kord","4"
"Lars Behrenroth","Ice On The Sun","3"
"Lars Behrenroth","Beach (Smith & Mudd remix)","2"
"Lars Behrenroth","Ice on the Sun - Version Remix","2"
"Lars Behrenroth","Subconscious Dark","2"
"Prof.Sakamoto","8bit shower for SF Hyakkei (feat. Gainax)","2"
"Scott Walker","Brando","2"
"Prof.Sakamoto","Battle","1"
"Prof.Sakamoto","Epilogue","1"
"Prof.Sakamoto","Field","1"
"Prof.Sakamoto","Final Battle","1"
"Prof.Sakamoto","Last Dungeon","1"
"Prof.Sakamoto","Prologue","1"
"Prof.Sakamoto","We are here","1"
"Tef Poe","Prince","1"
"Tef Poe","F.a.M.E.","1"
"Pelican","The Creeper - Live","1"
"Tef Poe","Hilary","1"
